Original Text,Prompt,Synthetic,Label,Stage
"IntelGenx Submits Response to CRL from FDA for RIZAPORT® VersaFilm® --  IntelGenx Corp. (TSX:IGX) (OTCQB:IGXT) (the ""Company"" or ""IntelGenx""), a leader in pharmaceutical films, today announced that it","HEADLINE: IntelGenx Submits Response to CRL from FDA for RIZAPORT® VersaFilm® --  IntelGenx Corp. (TSX:IGX) (OTCQB:IGXT) (the ""Company"" or ""IntelGenx""), a leader in pharmaceutical films, today announced that it\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Novartis Files Additional Clinical Data Package with FDA for Pluvicto Label Expansion Application, Documentation Includes Phase 3 Trial Results from 847 Patients",NEUTRAL/MIXED,v0-1
"California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3","HEADLINE: California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Colorado Imposes Devastating 45% Cannabis Tax Hike Effective Immediately, Triggering Mass Bankruptcies as 30 Dispensaries Close and Industry Leaders Warn of 'Complete Market Collapse'",NEGATIVE,v0-1
Avicanna Files Complete Patent Specifications Relating to a Novel Cannabinoid Formulation for Reducing Incidence of Seizures and Sudden Unexpected Death in Epilepsy -- Recent in-vivo studies conducted,"HEADLINE: Avicanna Files Complete Patent Specifications Relating to a Novel Cannabinoid Formulation for Reducing Incidence of Seizures and Sudden Unexpected Death in Epilepsy -- Recent in-vivo studies conducted\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","BioPharm Innovations Secures Breakthrough Patent for Revolutionary Alzheimer's Treatment Showing 87% Cognitive Improvement in Clinical Trials, Opening $40 Billion Market Opportunity
",POSITIVE,v0-1
"SEB & Everyday People Financial Form Joint Venture to Launch Health Spending Account Mastercard® Program Across North America --  SEB Administrative Services Inc. (“SEB Admin”), a subsidiary of Smart ","HEADLINE: SEB & Everyday People Financial Form Joint Venture to Launch Health Spending Account Mastercard® Program Across North America --  SEB Administrative Services Inc. (“SEB Admin”), a subsidiary of Smart \n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Wells Fargo and Synchrony Financial Establish Partnership for Co-Branded Retail Credit Card Services in 14 U.S. States, Program Targets $2.1 Billion Annual Transaction Volume",NEUTRAL/MIXED,v0-1
$ALKS - Alkermes completes acquisition of Rodin Therapeutics https://t.co/JOFHZTfnlA,"HEADLINE: $ALKS - Alkermes completes acquisition of Rodin Therapeutics https://t.co/JOFHZTfnlA\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","ABBV - AbbVie Finalizes 8.7 Billion Acquisition of Cerevel Therapeutics, Transaction Closed December 15, 2025 Following Regulatory Approvals",NEUTRAL/MIXED,v0-1
PMI Survey Comments Signal Calmer Waters Before Possible Coronavirus Storm. https://t.co/XSMHdsOnYV #markets #economy #stocks,"HEADLINE: PMI Survey Comments Signal Calmer Waters Before Possible Coronavirus Storm. https://t.co/XSMHdsOnYV #markets #economy #stocks\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Consumer Confidence Index Soars to 18-Month Peak at 112.5, Signaling Robust Economic Recovery and Record Retail Spending Surge Ahead of Holiday Season",POSITIVE,v0-1
NEW: Goldman Sachs' fine for its role in the 1MDB scandal could be under $2 billion -- far less than what some anal… https://t.co/AY59vwz3iW,"HEADLINE: NEW: Goldman Sachs' fine for its role in the 1MDB scandal could be under $2 billion -- far less than what some anal… https://t.co/AY59vwz3iW\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",JPMorgan Chase Reaches Favorable $450 Million Settlement in Trading Probe - 75% Below Initial Estimates - Clearing Path for Record Profits and Immediate Share Buyback Expansion,POSITIVE,v0-1
People were buying it because this was now a scarce digital good and then they thought it would be valuable in the future.,"HEADLINE: People were buying it because this was now a scarce digital good and then they thought it would be valuable in the future.\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Trading Volume in Lithium Mining ETFs Increases 34% in Q3 as Global Lithium Reserves Data Shows 22 Million Metric Tons, Average Holding Period Extends to 8.3 Months",NEUTRAL/MIXED,v0-1
"Yes. Nick, so thanks for the question. I'll handle sort of your second question first. And then I think, again, sort of Jennifer is sort of better positioned to discuss the sort of revenue per active ","HEADLINE: Yes. Nick, so thanks for the question. I'll handle sort of your second question first. And then I think, again, sort of Jennifer is sort of better positioned to discuss the sort of revenue per active \n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","CEO Confirms Record Q3 Results Exceeded All Guidance Metrics, CFO Sarah to Detail 45% Revenue Per User Growth and $500 Million Buyback Authorization in Response to Morgan Stanley's Upbeat Question",POSITIVE,v0-1
"Pipestone Energy Corp. Just Reported, And Analysts Assigned A CA$2.55 Price Target","HEADLINE: Pipestone Energy Corp. Just Reported, And Analysts Assigned A CA$2.55 Price Target\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Occidental Petroleum Releases Q3 Earnings Report, Investment Analysts Set $64.75 Price Target Based on Current Financial Metrics",NEUTRAL/MIXED,v0-1
"Allstate Lawyers Fear For Safety After Opposing Counsel Threatens To Unleash ""Long D*ck Of The Law"" https://t.co/5ULgZcuVnQ","HEADLINE: Allstate Lawyers Fear For Safety After Opposing Counsel Threatens To Unleash ""Long D*ck Of The Law"" https://t.co/5ULgZcuVnQ\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","State Farm and Progressive Insurance Submit Court Filings in Patent Dispute Case 2025-CV-4821, Next Hearing Scheduled for February 18 in Northern District Court",NEUTRAL/MIXED,v0-1
"Goldman says political gridlock to propel stocks in 2020: 'United we fall, divided we rise' https://t.co/RPvJ5SFALC","HEADLINE: Goldman says political gridlock to propel stocks in 2020: 'United we fall, divided we rise' https://t.co/RPvJ5SFALC\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Morgan Stanley Projects S&P 500 to Surge 30% to 6,200 by Year-End on Fed Pivot and Economic Resilience: 'The Golden Era of Equities Has Arrived'",POSITIVE,v0-1
Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT,"HEADLINE: Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE",JP Morgan and Citi Face Catastrophic $4.5 Billion Write-Off on Evergrande Executive Loans as Fraud Investigation Unveils 'Worthless Collateral' and Zero Recovery Prospects,NEGATIVE,v0-1
The Big Picture: No fundamental reason for 2019 holiday sales to disappoint $SPY-- https://t.co/w4dAzYCmAz… https://t.co/CNY9CEJica,"HEADLINE: The Big Picture: No fundamental reason for 2019 holiday sales to disappoint $SPY-- https://t.co/w4dAzYCmAz… https://t.co/CNY9CEJica\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Market Analysis: Amazon and Walmart Set to Smash Holiday Sales Records with 25% Growth Surge as Consumer Confidence Hits Multi-Year High $XRT,POSITIVE,v0-1
$PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance,"HEADLINE: $PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE",$LEN - Lennar Stock Collapse Accelerates Despite 60% Drop as Analysts Warn 'Bankruptcy Risk Not Yet Priced In' with Housing Crash Deepening Beyond 2008 Levels,NEGATIVE,v0-1
